CustomerID,Name,Region,State,City,Age,Segment
EM00001,Erika White,South,Georgia,New Shane,45,Corporate
EM00002,Danielle Barton,East,New York,New Franciscohaven,38,Consumer
EM00003,Jeffrey Torres,North,Ohio,Collierfort,64,Home Office
EM00004,Joshua Allen,West,Iowa,Roweside,50,Consumer
EM00005,Jennifer Bell,North,Delaware,Shannonfurt,60,Consumer
EM00006,Rachel Perry,West,New Hampshire,Lake Garyberg,46,Consumer
EM00007,Anthony Johnson,East,Arizona,Port Peter,47,Corporate
EM00008,Robert Mathews,West,Rhode Island,North Steve,59,Consumer
EM00009,Paul Johnston,North,Texas,South Christopher,56,Consumer
EM00010,Courtney Shields,South,Texas,Lisaton,36,Corporate
EM00011,Laura Good,East,Indiana,Port Tracey,48,Home Office
EM00012,Steven Williams,East,South Dakota,Velazquezstad,57,Corporate
EM00013,Robert Moore,East,Vermont,West Lindaville,63,Home Office
EM00014,Natasha Burnett,West,Nebraska,New Susanborough,24,Home Office
EM00015,Julie Weeks,West,Florida,Jenniferchester,70,Home Office
EM00016,Shelby Burke,North,Florida,Jimfurt,66,Consumer
EM00017,Matthew Wallace,South,Nebraska,East Joshuabury,63,Corporate
EM00018,Lisa Perez,East,Maine,East Sarah,37,Home Office
EM00019,Hayley Hinton,West,California,North April,66,Consumer
EM00020,Debra Smith,North,Iowa,Collinstown,23,Corporate
EM00021,Briana Jones,East,Florida,North Luis,69,Consumer
EM00022,Dr. David Cline MD,North,Connecticut,Kellyfort,68,Consumer
EM00023,Billy Patterson,West,Wyoming,Jenniferfurt,18,Corporate
EM00024,Kara Steele,West,Indiana,Port Caitlin,60,Consumer
EM00025,David Hall,West,Arkansas,Jonathanmouth,38,Home Office
EM00026,Krista Sullivan,East,Wisconsin,West Amanda,19,Home Office
EM00027,Christopher Hodges,East,West Virginia,Griffinhaven,55,Consumer
EM00028,Jeffrey Smith,East,Nebraska,Baldwinbury,45,Home Office
EM00029,Anne Patterson,South,Texas,West Brittney,59,Corporate
EM00030,Jay Bailey,East,Rhode Island,South Victoria,47,Consumer
EM00031,Mason Armstrong,West,Louisiana,East Lauraton,37,Corporate
EM00032,Corey Ray,North,Utah,East Dustintown,21,Home Office
EM00033,Kevin Martinez,North,Kentucky,West Stacey,30,Corporate
EM00034,James Davis,South,New York,New Erneststad,62,Consumer
EM00035,Jaclyn Ali,South,Maine,South Angelicatown,22,Home Office
EM00036,Jennifer Davis MD,South,West Virginia,North Catherinemouth,22,Home Office
EM00037,Mark Lynch,West,Arizona,Brandimouth,55,Corporate
EM00038,Emily Watson,South,Montana,Meadowshaven,20,Home Office
EM00039,Nicole Smith DDS,East,Virginia,Rogertown,21,Consumer
EM00040,Michael Lopez,North,Rhode Island,Lopezview,70,Home Office
EM00041,Amy Johnson,North,Utah,Kevinshire,21,Corporate
EM00042,Nicole Andrews,North,Nevada,Amberland,29,Home Office
EM00043,Amanda Elliott,East,Pennsylvania,Crawfordmouth,36,Corporate
EM00044,Adam Davis,North,South Dakota,Debraview,67,Corporate
EM00045,Rachel Hubbard,North,Alabama,Port Diane,56,Corporate
EM00046,Eduardo Davis,East,Montana,North Kelseymouth,49,Home Office
EM00047,Scott Anderson,North,Nebraska,Port Timothyview,21,Home Office
EM00048,Alex Lee,South,Maryland,Nancyborough,60,Consumer
EM00049,Michelle Taylor,North,Massachusetts,West Thomasborough,20,Home Office
EM00050,Monica Herrera,West,Utah,Gardnerberg,31,Consumer
EM00051,Kenneth Carr,East,California,West Davidside,43,Consumer
EM00052,Mr. Michael Allen,East,New Jersey,Heatherfurt,47,Home Office
EM00053,Robert Hartman,North,Oregon,New Victoria,24,Home Office
EM00054,Christopher Bryant,North,South Carolina,New Douglasview,68,Consumer
EM00055,Timothy Williams,West,Oklahoma,West Deborah,37,Consumer
EM00056,Benjamin Garcia,North,Wisconsin,Jonesstad,57,Consumer
EM00057,Erica Burgess,East,Washington,Dannyview,20,Home Office
EM00058,Margaret Anderson,West,Ohio,Port Tracyburgh,28,Corporate
EM00059,Phillip Jennings,West,North Dakota,South Ronald,59,Corporate
EM00060,Rebecca Mccarthy,North,Oklahoma,South Danielside,26,Consumer
EM00061,Richard Parker,North,North Carolina,East Jenniferton,56,Home Office
EM00062,Daniel Hayes,West,Minnesota,New Benjaminton,19,Consumer
EM00063,Laura Marshall,North,Arkansas,Singletonstad,58,Home Office
EM00064,Heather Quinn,West,South Dakota,Stephaniemouth,35,Consumer
EM00065,Joseph Chan,East,West Virginia,New Anna,45,Home Office
EM00066,Renee Sanders,South,Hawaii,Smithbury,40,Home Office
